Source IP           Destination IP      Source Port    Destination Port    HTTP Request / Response                 
===================================================================================================================
XiaomiCommun_9e:9c:c3Broadcast           -              -                   -                                       
HonHaiPrecis_8c:90:55XiaomiCommun_9e:9c:c3-              -                   -                                       
192.168.43.153      103.27.9.20         34573          80                  -                                       
192.168.43.153      192.168.43.1        -              -                   -                                       
192.168.43.1        192.168.43.153      -              -                   -                                       
192.168.43.153      103.27.9.20         34574          80                  -                                       
103.27.9.20         192.168.43.153      80             34574               -                                       
192.168.43.153      103.27.9.20         34574          80                  -                                       
192.168.43.153      103.27.9.20         -              -                   GET / HTTP/1.1                          
103.27.9.20         192.168.43.153      80             34573               -                                       
192.168.43.153      103.27.9.20         34573          80                  -                                       
103.27.9.20         192.168.43.153      80             34574               -                                       
103.27.9.20         192.168.43.153      80             34574               -                                       
192.168.43.153      103.27.9.20         34574          80                  -                                       
103.27.9.20         192.168.43.153      80             34574               -                                       
192.168.43.153      103.27.9.20         34574          80                  -                                       
103.27.9.20         192.168.43.153      80             34574               -                                       
192.168.43.153      103.27.9.20         34574          80                  -                                       
103.27.9.20         192.168.43.153      80             34574               -                                       
192.168.43.153      103.27.9.20         34574          80                  -                                       
192.168.43.153      103.27.9.20         -              -                   GET /sites/default/files/ctools/css/2d4fe1c1412881a73110e50a115127de.css?Y HTTP/1.1 
192.168.43.153      103.27.9.20         34575          80                  -                                       
103.27.9.20         192.168.43.153      80             34574               -                                       
192.168.43.153      103.27.9.20         34574          80                  -                                       
192.168.43.153      103.27.9.20         34576          80                  -                                       
192.168.43.153      103.27.9.20         34577          80                  -                                       
192.168.43.153      103.27.9.20         34578          80                  -                                       
103.27.9.20         192.168.43.153      80             34574               -                                       
192.168.43.153      103.27.9.20         34574          80                  -                                       
103.27.9.20         192.168.43.153      80             34574               -                                       
192.168.43.153      103.27.9.20         34574          80                  -                                       
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 200 OK  (text/html)            
192.168.43.153      103.27.9.20         34574          80                  -                                       
192.168.43.153      103.27.9.20         -              -                   GET /modules/node/node.css?Y HTTP/1.1   
103.27.9.20         192.168.43.153      80             34576               -                                       
192.168.43.153      103.27.9.20         34576          80                  -                                       
