# time_mid(s)  avg_delay(ms)
1.5000  100.185234
2.5000  116.079000
3.5000  116.079000
4.5000  116.079000
5.5000  116.079000
6.5000  116.079000
7.5000  116.079000
8.5000  116.079000
9.5000  116.079000
10.5000  116.079000
11.5000  116.079000
12.5000  116.079000
13.5000  116.079000
14.5000  116.079000
15.5000  213.105207
16.5000  259.595000
17.5000  124.551774
18.5000  215.054030
19.5000  274.302360
20.5000  112.271000
21.5000  144.599727
22.5000  242.591941
23.5000  278.234520
24.5000  262.136846
25.5000  270.876176
26.5000  98.034765
27.5000  155.243121
28.5000  253.834152
29.5000  273.235571
30.5000  115.889909
31.5000  182.273286
32.5000  270.360290
33.5000  257.771444
34.5000  120.937880
35.5000  194.317118
36.5000  276.230273
37.5000  202.673286
38.5000  126.292517
39.5000  209.837061
40.5000  278.959000
41.5000  168.996333
42.5000  136.247000
43.5000  228.404818
44.5000  279.249462
45.5000  118.367000
46.5000  144.556935
47.5000  238.352882
48.5000  279.855000
49.5000  261.807000
50.5000  268.876091
51.5000  240.659571
52.5000  276.939690
53.5000  276.319000
54.5000  154.965154
55.5000  166.563000
56.5000  250.455000
57.5000  275.584455
58.5000  121.155267
59.5000  161.685788
60.5000  254.447000
61.5000  265.387571
62.5000  117.718619
63.5000  183.794657
64.5000  271.846742
65.5000  258.677400
66.5000  119.299480
67.5000  193.473824
68.5000  274.971000
69.5000  203.843571
70.5000  127.535000
71.5000  212.703485
72.5000  279.729370
73.5000  168.340333
74.5000  135.607000
75.5000  228.156576
76.5000  278.577560
77.5000  117.367000
78.5000  144.028419
79.5000  237.871000
80.5000  278.541476
81.5000  115.717400
82.5000  160.196333
83.5000  253.819000
84.5000  276.943000
85.5000  117.580600
86.5000  172.579000
87.5000  262.539000
88.5000  265.628538
89.5000  118.310652
90.5000  187.781588
91.5000  272.077968
92.5000  228.739800
93.5000  122.621769
94.5000  201.361909
95.5000  277.047533
96.5000  183.387444
97.5000  128.805857
98.5000  215.769057
99.5000  279.904231
100.5000  191.126333
