# time_mid(s)  throughput(Mbps)
1.5000  0.632640
2.5000  1.006720
3.5000  0.998400
4.5000  0.998400
5.5000  0.998400
6.5000  0.998400
7.5000  1.006720
8.5000  0.998400
9.5000  0.998400
10.5000  0.998400
11.5000  0.998400
12.5000  1.006720
13.5000  0.998400
14.5000  0.998400
15.5000  0.482560
16.5000  0.066560
17.5000  0.257920
18.5000  0.274560
19.5000  0.208000
20.5000  0.083200
21.5000  0.274560
22.5000  0.282880
23.5000  0.208000
24.5000  0.216320
25.5000  0.141440
26.5000  0.141440
27.5000  0.274560
28.5000  0.274560
29.5000  0.116480
30.5000  0.183040
31.5000  0.291200
32.5000  0.257920
33.5000  0.074880
34.5000  0.208000
35.5000  0.282880
36.5000  0.274560
37.5000  0.058240
38.5000  0.241280
39.5000  0.274560
40.5000  0.232960
41.5000  0.074880
42.5000  0.266240
43.5000  0.274560
44.5000  0.216320
45.5000  0.083200
46.5000  0.257920
47.5000  0.282880
48.5000  0.216320
49.5000  0.216320
50.5000  0.183040
51.5000  0.232960
52.5000  0.241280
53.5000  0.199680
54.5000  0.108160
55.5000  0.266240
56.5000  0.266240
57.5000  0.183040
58.5000  0.124800
59.5000  0.274560
60.5000  0.266240
61.5000  0.116480
62.5000  0.174720
63.5000  0.291200
64.5000  0.257920
65.5000  0.083200
66.5000  0.208000
67.5000  0.282880
68.5000  0.266240
69.5000  0.058240
70.5000  0.249600
71.5000  0.274560
72.5000  0.224640
73.5000  0.074880
74.5000  0.266240
75.5000  0.274560
76.5000  0.208000
77.5000  0.083200
78.5000  0.257920
79.5000  0.282880
80.5000  0.174720
81.5000  0.124800
82.5000  0.274560
83.5000  0.266240
84.5000  0.133120
85.5000  0.166400
86.5000  0.266240
87.5000  0.266240
88.5000  0.108160
89.5000  0.191360
90.5000  0.282880
91.5000  0.257920
92.5000  0.083200
93.5000  0.216320
94.5000  0.274560
95.5000  0.249600
96.5000  0.074880
97.5000  0.232960
98.5000  0.291200
99.5000  0.216320
100.5000  0.024960
