# time_mid(s)  avg_delay(ms)
1.5000  100.185234
2.5000  116.079000
3.5000  116.079000
4.5000  116.079000
5.5000  116.079000
6.5000  116.079000
7.5000  116.079000
8.5000  116.079000
9.5000  116.079000
10.5000  116.079000
11.5000  116.079000
12.5000  116.079000
13.5000  116.079000
14.5000  116.079000
15.5000  213.105207
16.5000  227.759000
17.5000  249.472778
18.5000  202.698429
19.5000  206.230724
20.5000  268.663000
21.5000  262.255000
22.5000  205.377286
23.5000  266.070226
24.5000  258.293737
25.5000  200.687000
26.5000  256.716867
27.5000  237.967000
28.5000  192.916926
29.5000  255.866636
30.5000  276.514200
31.5000  196.171160
32.5000  245.478467
33.5000  258.895000
34.5000  191.973154
35.5000  247.953133
36.5000  277.412333
37.5000  191.500091
38.5000  231.265759
39.5000  282.707848
40.5000  202.460714
41.5000  222.388818
42.5000  276.946556
43.5000  196.057667
44.5000  217.057286
45.5000  275.897323
46.5000  229.946294
47.5000  201.991615
48.5000  261.579000
49.5000  280.211571
50.5000  197.824920
51.5000  252.047000
52.5000  279.311000
53.5000  190.737909
54.5000  233.269621
55.5000  272.155800
56.5000  188.260333
57.5000  233.797710
58.5000  274.771174
59.5000  193.361909
60.5000  232.113207
61.5000  282.811000
62.5000  199.023000
63.5000  218.274200
64.5000  273.926704
65.5000  190.921353
66.5000  215.123000
67.5000  276.881133
68.5000  200.127000
69.5000  221.012517
70.5000  273.253154
71.5000  188.022111
72.5000  216.019000
73.5000  276.830484
74.5000  221.219706
75.5000  211.603571
76.5000  269.875267
77.5000  196.511000
78.5000  207.941857
79.5000  271.591242
80.5000  252.091800
81.5000  204.346034
82.5000  262.998226
83.5000  215.739800
84.5000  200.140867
85.5000  265.029710
86.5000  258.703000
87.5000  198.889880
88.5000  255.433839
89.5000  251.221400
90.5000  192.732714
91.5000  255.535000
92.5000  278.035571
93.5000  197.318040
94.5000  247.605194
95.5000  254.176778
96.5000  189.905462
97.5000  246.292161
98.5000  282.968739
99.5000  194.589545
100.5000  212.079000
