# time_mid(s)  throughput(Mbps)
1.5000  0.632640
2.5000  1.006720
3.5000  0.998400
4.5000  0.998400
5.5000  0.998400
6.5000  0.998400
7.5000  1.006720
8.5000  0.998400
9.5000  0.998400
10.5000  0.998400
11.5000  0.998400
12.5000  1.006720
13.5000  0.998400
14.5000  0.998400
15.5000  0.482560
16.5000  0.133120
17.5000  0.299520
18.5000  0.116480
19.5000  0.241280
20.5000  0.266240
21.5000  0.158080
22.5000  0.232960
23.5000  0.257920
24.5000  0.158080
25.5000  0.216320
26.5000  0.249600
27.5000  0.133120
28.5000  0.224640
29.5000  0.274560
30.5000  0.166400
31.5000  0.208000
32.5000  0.249600
33.5000  0.166400
34.5000  0.216320
35.5000  0.249600
36.5000  0.199680
37.5000  0.183040
38.5000  0.241280
39.5000  0.274560
40.5000  0.116480
41.5000  0.274560
42.5000  0.224640
43.5000  0.149760
44.5000  0.232960
45.5000  0.257920
46.5000  0.141440
47.5000  0.216320
48.5000  0.266240
49.5000  0.174720
50.5000  0.208000
51.5000  0.266240
52.5000  0.199680
53.5000  0.183040
54.5000  0.241280
55.5000  0.166400
56.5000  0.199680
57.5000  0.257920
58.5000  0.191360
59.5000  0.183040
60.5000  0.241280
61.5000  0.266240
62.5000  0.124800
63.5000  0.249600
64.5000  0.224640
65.5000  0.141440
66.5000  0.266240
67.5000  0.249600
68.5000  0.133120
69.5000  0.241280
70.5000  0.216320
71.5000  0.149760
72.5000  0.266240
73.5000  0.257920
74.5000  0.141440
75.5000  0.232960
76.5000  0.249600
77.5000  0.133120
78.5000  0.232960
79.5000  0.274560
80.5000  0.124800
81.5000  0.241280
82.5000  0.257920
83.5000  0.124800
84.5000  0.249600
85.5000  0.257920
86.5000  0.166400
87.5000  0.208000
88.5000  0.257920
89.5000  0.124800
90.5000  0.232960
91.5000  0.266240
92.5000  0.174720
93.5000  0.208000
94.5000  0.257920
95.5000  0.149760
96.5000  0.216320
97.5000  0.257920
98.5000  0.191360
99.5000  0.183040
100.5000  0.049920
