vehicle_weight,horsepower,miles_per_gallon
3504,130,18
3693,165,15
3436,,18
3433,150,16
3449,140,17
4341,198,15
4354,,14
4312,215,14
4425,225,14
3850,190,15
3563,,15
3609,160,14
3761,150,15
3086,,14
2372,95,24
2833,95,22
2774,,18
2587,85,21
2130,88,27
1835,46,26
2672,,25
2430,90,24
2375,95,25
2234,113,26
2648,90,21
4615,215,10
4376,200,10
4382,,11
4732,193,9
2130,88,27
2264,90,28
2228,95,25
2046,125,25
2634,100,19
3439,,16
3329,100,17
3302,88,19
3288,100,18
4209,165,14
4464,,14
4154,153,14
4096,150,14
4955,180,12
4746,170,13
5140,,13
2962,110,18
2408,72,22
3282,,19
3139,88,18
2220,86,23
2123,90,28
2074,70,30
2065,,30
1773,65,31
1613,69,35
1834,60,27
1955,,26
2278,95,24
2126,80,25
2254,,23
2408,90,20
2226,86,21
4274,165,13
4385,,14
4135,150,15
4129,153,14
3672,,17
4633,208,11
4502,155,13
4456,,12
4422,190,13
2330,97,19
3892,150,15
4098,130,13
4294,140,13
4077,,14
2933,112,18
2511,76,22
2979,87,21
2189,69,26
2395,,22
2288,92,28
2506,97,23
2164,80,28
2100,88,27
4100,,13
3672,150,14
3988,145,13
4042,137,14
3777,,15
4952,198,12
4464,150,13
4363,158,13
4237,150,14
4735,,13
4951,225,12
3821,175,13
3121,,18
3278,100,16
2945,,18
3021,88,18
2904,95,23
1950,46,26
4997,,11
4906,167,12
4654,170,13
4499,,12
2789,100,18
2279,88,20
2401,72,21
2379,94,22
2124,,18
2310,85,19
2472,107,21
2265,90,26
4082,145,15
4278,230,16
1867,49,29
2158,75,24
2582,91,20
2868,112,19
3399,150,15
2660,110,24
2807,,20
3664,180,11
3102,,20
2875,121,21
2901,,19
3336,100,15
1950,67,31
2451,80,26
1836,65,32
2542,,25
3781,100,16
3632,,16
3613,105,18
4141,140,16
4699,150,13
4457,,14
4638,140,14
4257,150,14
2219,,29
1963,67,26
2300,78,26
1649,52,31
2003,,32
2125,75,28
2108,75,24
2246,75,26
2489,97,24
2391,,26
2000,67,31
3264,95,19
3459,105,18
3432,72,15
3158,,15
4668,170,16
4440,145,15
4498,150,16
4657,,14
3907,110,17
3897,105,16
3730,110,15
3785,95,18
3039,110,21
3221,,20
3169,129,13
2171,75,29
2639,83,23
2914,100,20
2592,78,23
2702,,24
2223,71,25
2545,97,24
2984,97,18
1937,70,29
3211,90,19
2694,95,23
2957,88,23
2945,,22
2671,115,25
1795,53,33
2464,86,28
2220,81,25
2572,92,25
2255,79,26
2202,,27
4215,140,17.5
4190,150,16
3962,,15.5
4215,152,14.5
3233,100,22
3353,,22
3012,81,24
3085,,22.5
2035,52,29
2164,60,24.5
1937,,29
1795,53,33
3651,100,20
3574,78,18
3645,110,18.5
3193,95,17.5
1825,,29.5
1990,70,32
2155,,28
2565,72,26.5
3150,102,20
3940,,13
3270,88,19
2930,,19
3820,120,16.5
4380,180,16.5
4055,145,13
3870,,13
3755,150,13
2045,68,31.5
2155,80,30
1825,58,36
2300,96,25.5
1945,70,33.5
3880,,17.5
4060,110,17
4140,145,15.5
4295,,15
3520,110,17.5
3425,105,20.5
3630,,19
3525,98,18.5
4220,180,16
4165,170,15.5
4325,190,15.5
4335,,16
1940,,29
2740,,24.5
2265,,26
2755,,25.5
2051,,30.5
2075,,33.5
1985,,30
2190,78,30.5
2815,97,22
2600,110,21.5
2720,110,21.5
1985,48,43.1
1800,66,36.1
1985,52,32.8
2070,70,39.4
1800,60,36.1
