tag,loss_fn,batch_size,epoch,train_loss,train_acc,test_loss,test_acc,grad_norm
bs16,MSE,16,1,0.5493451344490051,65.71,0.2933276854455471,85.9,2.546358437080813
bs16,MSE,16,2,0.27180248658657075,86.18,0.2081661131232977,89.7,3.107081784988727
bs16,MSE,16,3,0.2102414304494858,89.44,0.17911383230239153,91.1,2.635365530449048
bs16,MSE,16,4,0.17014959169328212,91.76,0.14306818903423846,93.15,2.2695196364671473
bs16,MSE,16,5,0.1419868238195777,93.3,0.11581211886368692,94.7,2.0168942942673653
bs16,MedSE,16,1,0.6546852672040463,46.41,0.34263703785836697,61.05,6.0476577864326035
bs16,MedSE,16,2,0.26330241458360104,62.46,0.11195149089326151,63.05,4.809141411915311
bs16,MedSE,16,3,0.08219770625309321,72.76,0.04856518726228387,70.6,2.3549685323215823
bs16,MedSE,16,4,0.04228785089813173,73.97,0.008328314679374671,73.35,1.5726804305853062
bs16,MedSE,16,5,0.040025069473005714,74.43,0.006957357625651639,73.85,1.3825781698654611
bs16,T-MSE,16,1,0.5093027831792831,64.36,0.21764119807630777,83.85,2.6291127291526224
bs16,T-MSE,16,2,0.21936403290629386,85.05,0.13021855289116502,88.8,3.1234480382948644
bs16,T-MSE,16,3,0.16088741114139557,88.66,0.1003646916942671,90.75,2.7025231936286147
bs16,T-MSE,16,4,0.12235704645588993,90.49,0.06319864420220256,92.8,2.2881087303904666
bs16,T-MSE,16,5,0.0987777846314013,92.09,0.043527799542061985,93.35,1.9950849380483902
clean,MSE,64,1,0.8865298590842327,37.56,0.688056442886591,55.25,0.9553191589966167
clean,MSE,64,2,0.5389561527853559,70.07,0.41679086070507765,79.35,1.266400765256762
clean,MSE,64,3,0.37516237880773606,81.51,0.35068692173808813,80.25,1.7808049001813226
clean,MSE,64,4,0.3126820607739649,84.68,0.3233652147464454,82.95,1.9648248517112163
clean,MSE,64,5,0.2780473912787286,86.55,0.28576316637918353,85.7,2.0242258366834376
clean,MedSE,64,1,0.951667110251773,23.54,0.8848410826176405,20.6,3.9440655058432506
clean,MedSE,64,2,0.8062911174099916,37.17,0.7052636966109276,47.45,4.969010625748339
clean,MedSE,64,3,0.7326862436191292,44.89,0.7682481817901134,41.25,5.69349323223351
clean,MedSE,64,4,0.6462272739714119,49.84,0.6196619216352701,49.55,6.049348490449397
clean,MedSE,64,5,0.5742370083833196,52.52,0.5265159513801336,53.85,5.938861410305814
clean,T-MSE,64,1,0.8638280147959472,37.81,0.6249743867665529,59.9,1.0374244933655947
clean,T-MSE,64,2,0.45244280842079476,70.65,0.338569859508425,77.1,1.3976800247111354
clean,T-MSE,64,3,0.30745981662136734,77.19,0.29094156762585044,76.4,1.7912938999544916
clean,T-MSE,64,4,0.25821548377632336,79.04,0.25478690350428224,79.3,1.98268108557917
clean,T-MSE,64,5,0.22859290289651057,80.77,0.21649849833920598,80.7,1.9373248164004007
bs128,MSE,128,1,1.0053273114977004,31.53,0.8327152393758297,36.9,1.0447540539652886
bs128,MSE,128,2,0.7629562721976751,45.28,0.6834486555308104,56.1,0.6401610653351931
bs128,MSE,128,3,0.600225059669229,65.61,0.518179539591074,72.9,0.8884526337791162
bs128,MSE,128,4,0.4682325385039366,76.82,0.4359645079821348,76.6,1.1094028048711402
bs128,MSE,128,5,0.3892401245575917,81.26,0.3764256164431572,79.6,1.3188853502341957
bs128,MedSE,128,1,1.0286003992527346,18.58,0.8647538125514984,29.3,4.029360774111783
bs128,MedSE,128,2,0.8379588625099086,35.11,0.8803321253508329,23.5,4.431456207590092
bs128,MedSE,128,3,0.7993550760836541,40.05,0.7245640456676483,46.95,5.139430941496127
bs128,MedSE,128,4,0.7347341402422024,45.03,0.6865800395607948,46.65,5.525997085723188
bs128,MedSE,128,5,0.6805100693732877,48.32,0.5782457077875733,53.1,6.319882120996757
bs128,T-MSE,128,1,0.989680147623714,29.75,0.8242411483079195,36.55,1.0573621836754372
bs128,T-MSE,128,2,0.7476368274869798,45.32,0.6436520833522081,60.95,0.7227697855404158
bs128,T-MSE,128,3,0.5300063739849042,67.88,0.4385506035760045,70.75,1.0080951904853248
bs128,T-MSE,128,4,0.38473776850519303,74.38,0.3735916055738926,72.7,1.1702743900548498
bs128,T-MSE,128,5,0.31855220696594144,77.04,0.3020744970999658,75.95,1.3538071499627353
