tag,loss_fn,batch_size,epoch,train_loss,train_acc,test_loss,test_acc,grad_norm
clean,MSE,64,1,0.8865298590842327,37.56,0.688056442886591,55.25,0.9553191589966167
clean,MSE,64,2,0.5389561527853559,70.07,0.41679086070507765,79.35,1.266400765256762
clean,MSE,64,3,0.37516237880773606,81.51,0.35068692173808813,80.25,1.7808049001813226
clean,MSE,64,4,0.3126820607739649,84.68,0.3233652147464454,82.95,1.9648248517112163
clean,MSE,64,5,0.2780473912787286,86.55,0.28576316637918353,85.7,2.0242258366834376
clean,MedSE,64,1,0.951667110251773,23.54,0.8848410826176405,20.6,3.9440655058432506
clean,MedSE,64,2,0.8062911174099916,37.17,0.7052636966109276,47.45,4.969010625748339
clean,MedSE,64,3,0.7326862436191292,44.89,0.7682481817901134,41.25,5.69349323223351
clean,MedSE,64,4,0.6462272739714119,49.84,0.6196619216352701,49.55,6.049348490449397
clean,MedSE,64,5,0.5742370083833196,52.52,0.5265159513801336,53.85,5.938861410305814
clean,T-MSE,64,1,0.8638280147959472,37.81,0.6249743867665529,59.9,1.0374244933655947
clean,T-MSE,64,2,0.45244280842079476,70.65,0.338569859508425,77.1,1.3976800247111354
clean,T-MSE,64,3,0.30745981662136734,77.19,0.29094156762585044,76.4,1.7912938999544916
clean,T-MSE,64,4,0.25821548377632336,79.04,0.25478690350428224,79.3,1.98268108557917
clean,T-MSE,64,5,0.22859290289651057,80.77,0.21649849833920598,80.7,1.9373248164004007
